Seq Length,Accuracy
4,81.76581662820195
8,90.15239657441492
12,93.4054301490573
16,94.9454489967193
20,95.18405493038337
24,96.23483634699016
28,96.7022696929239
32,96.94056610971236
36,97.25345463908678
40,97.01506770932671
48,97.2304875257496
56,97.53004005340455
64,97.78761061946902
72,97.32234809474768
80,97.73030707610147
88,98.23751573646663
96,97.07026779583428
112,98.58477970627504
128,97.86389990845285
152,97.8623188405797
160,96.87261632341723
180,97.85407725321889
200,96.90033381020505
220,96.22443628736235
256,95.42124542124543
