Seq Length,Accuracy
4,77.20345610253867
8,84.47614869633219
12,89.31708293994794
16,91.49309529259175
20,93.6677474728209
24,94.54108491645685
28,94.90654205607477
32,94.07949950408178
36,95.39095356621749
40,95.67995422468053
48,95.36507209887847
56,96.3150867823765
64,95.17851693622215
72,96.30964641263301
80,96.68128933816517
88,95.99244649601343
96,95.90295262073701
112,96.4218958611482
128,96.032956972841
152,96.1231884057971
160,96.60564454614799
180,95.23605150214593
200,95.56509298998569
220,96.11955951756686
256,94.13919413919413
